Year,Philippines,Thailand
1950,1372.178,1144.313
1951,1394.243,1062.705
1952,1550.011,1010.113
1953,1600.815,893.261
1954,1708.877,947.357
1955,1721.193,850.093
1956,1895.363,861.658
1957,1816.886,938.475
1958,1901.033,926.254
1959,2017.088,994.095
1960,2037.327,1085.837
1961,2080.329,1108.186
1962,2136.973,1150.172
1963,2237.137,1206.145
1964,2225.869,1248.527
1965,2285.703,1310.967
1966,2311.237,1407.574
1967,2308.414,1473.872
1968,2329.66,1552.785
1969,2359.579,1609.392
1970,2427.13,1748.067
1971,2492.936,1847.651
1972,2591.656,1832.944
1973,2771.741,1939.354
1974,2744.955,1992.651
1975,2866.546,2068.22
1976,3042.973,2232.996
1977,3134.525,2408.912
1978,3159.881,2651.568
1979,3152.535,2639.082
1980,3293.286,2741.715
1981,3381.872,2917.337
1982,3312.746,3054.824
1983,3331.164,3046.671
1984,3200.859,3206.132
1985,2927.927,3393.087
1986,3028.005,3494.599
1987,2972.566,3673.291
1988,3086.433,3950.456
1989,3164.96,4319
1990,3208.788,4844.584
1991,3187.478,5195.629
1992,3167.355,5577.573
1993,3156.339,5921.746
1994,3289.818,6331.146
1995,3274.039,6680.056
1996,3339.729,6915.208
1997,3514.835,6773.107
1998,3317.053,6159.406
1999,3457.68,6382.857
2000,3825.615,6473.595
2001,3644.197,6638.379
2002,3616.65,6882.736
2003,3576.113,7275.024
2004,3938.135,7623.023
